
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Dec 18 1992,Box Score,Atlanta Hawks,108,Miami Heat,100,,
Fri Dec 18 1992,Box Score,Utah Jazz,112,Philadelphia 76ers,98,,
Fri Dec 18 1992,Box Score,Dallas Mavericks,101,San Antonio Spurs,122,,
Fri Dec 18 1992,Box Score,Portland Trail Blazers,109,Seattle SuperSonics,126,,
Sat Dec 19 1992,Box Score,Orlando Magic,125,Atlanta Hawks,84,,
Sat Dec 19 1992,Box Score,Philadelphia 76ers,98,Chicago Bulls,96,,
Sat Dec 19 1992,Box Score,Utah Jazz,104,Cleveland Cavaliers,121,,
Sat Dec 19 1992,Box Score,Los Angeles Lakers,92,Denver Nuggets,86,,
Sat Dec 19 1992,Box Score,Minnesota Timberwolves,116,Golden State Warriors,122,OT,
Sat Dec 19 1992,Box Score,Dallas Mavericks,93,Houston Rockets,112,,
Sat Dec 19 1992,Box Score,New Jersey Nets,110,Indiana Pacers,124,,
Sat Dec 19 1992,Box Score,Detroit Pistons,103,Milwaukee Bucks,90,,
Sat Dec 19 1992,Box Score,Miami Heat,87,New York Knicks,91,,
Sat Dec 19 1992,Box Score,Los Angeles Clippers,101,Seattle SuperSonics,121,,
Sat Dec 19 1992,Box Score,Charlotte Hornets,126,Washington Bullets,117,,
Sun Dec 20 1992,Box Score,Sacramento Kings,98,New Jersey Nets,104,,
Sun Dec 20 1992,Box Score,Golden State Warriors,114,Portland Trail Blazers,130,,
Mon Dec 21 1992,Box Score,Miami Heat,82,Chicago Bulls,86,,
Mon Dec 21 1992,Box Score,Indiana Pacers,101,Philadelphia 76ers,113,,
Mon Dec 21 1992,Box Score,Cleveland Cavaliers,111,Washington Bullets,107,OT,
Tue Dec 22 1992,Box Score,Charlotte Hornets,130,Atlanta Hawks,114,,
Tue Dec 22 1992,Box Score,Houston Rockets,84,Detroit Pistons,98,,
Tue Dec 22 1992,Box Score,Dallas Mavericks,94,Los Angeles Clippers,108,,
Tue Dec 22 1992,Box Score,Sacramento Kings,102,Milwaukee Bucks,99,OT,
Tue Dec 22 1992,Box Score,Boston Celtics,106,New Jersey Nets,104,,
Tue Dec 22 1992,Box Score,Utah Jazz,98,Orlando Magic,101,,
Tue Dec 22 1992,Box Score,Golden State Warriors,104,Phoenix Suns,106,,
Tue Dec 22 1992,Box Score,Seattle SuperSonics,107,Portland Trail Blazers,96,,
Tue Dec 22 1992,Box Score,Denver Nuggets,108,San Antonio Spurs,113,,
Wed Dec 23 1992,Box Score,Houston Rockets,94,Boston Celtics,98,,
Wed Dec 23 1992,Box Score,Detroit Pistons,95,Charlotte Hornets,107,,
Wed Dec 23 1992,Box Score,Washington Bullets,98,Chicago Bulls,107,,
Wed Dec 23 1992,Box Score,Indiana Pacers,104,Cleveland Cavaliers,118,,
Wed Dec 23 1992,Box Score,Phoenix Suns,111,Denver Nuggets,96,,
Wed Dec 23 1992,Box Score,Dallas Mavericks,97,Golden State Warriors,111,,
Wed Dec 23 1992,Box Score,Seattle SuperSonics,80,Los Angeles Lakers,79,,
Wed Dec 23 1992,Box Score,Utah Jazz,92,Miami Heat,86,,
Wed Dec 23 1992,Box Score,Sacramento Kings,102,Minnesota Timberwolves,96,OT,
Fri Dec 25 1992,Box Score,New York Knicks,77,Chicago Bulls,89,,
Fri Dec 25 1992,Box Score,San Antonio Spurs,103,Los Angeles Clippers,94,,
Sat Dec 26 1992,Box Score,New Jersey Nets,119,Cleveland Cavaliers,114,,
Sat Dec 26 1992,Box Score,Golden State Warriors,110,Dallas Mavericks,96,,
Sat Dec 26 1992,Box Score,Denver Nuggets,82,Houston Rockets,90,,
Sat Dec 26 1992,Box Score,Chicago Bulls,95,Indiana Pacers,84,,
Sat Dec 26 1992,Box Score,San Antonio Spurs,104,Los Angeles Lakers,92,,
Sat Dec 26 1992,Box Score,Orlando Magic,100,Miami Heat,106,,
Sat Dec 26 1992,Box Score,New York Knicks,100,Milwaukee Bucks,102,OT,
Sat Dec 26 1992,Box Score,Atlanta Hawks,113,Minnesota Timberwolves,105,,
Sat Dec 26 1992,Box Score,Seattle SuperSonics,110,Phoenix Suns,113,,
Sat Dec 26 1992,Box Score,Philadelphia 76ers,115,Portland Trail Blazers,121,OT,
